IDENT_MEN,inflation
7,6.112414987886096
103,3.8427255655372337
412,5.32356654817905
442,6.818144105341218
572,5.786479102011204
577,5.0277533395121425
627,9.219518305759495
733,4.91306161330437
757,3.8639994756250613
820,0.44756616432563107
934,4.286184422910546
1085,2.1814682018578853
1123,6.0818229788132205
1164,4.280610423515462
1181,5.360562906916554
1191,4.81591812878901
1287,2.26877461524479
1291,-4.7
1464,3.68854055371418
1754,3.8602146630516825
1849,4.073473574667361
1918,5.264940775115725
2002,6.249789649386321
2025,7.2637966379663785
2052,5.732749385749384
2082,0.13228382546302855
2215,5.175575018539136
2266,4.542634876305525
2346,3.3352517843568914
2432,6.442372092957295
2452,4.843705123447061
2491,5.282775551186445
2539,7.549610770277973
2573,3.6006085194500477
2922,4.049237865705821
2986,6.1067833712462765
3145,4.162039094948961
3159,-0.2669314300761278
3242,3.4362517991913233
3331,6.743427029331032
3478,4.747214427398664
3511,4.246198263419956
3617,6.299021607065461
3776,5.154706223518227
3788,4.04723645222209
3854,3.5484714773527855
3871,2.198218965726169
3939,7.437492999828756
4042,4.78253347910049
4071,3.8749578854810083
4091,5.416578016684877
4276,3.863022454962462
4537,4.576897221193641
4610,3.1516863095187
4702,4.062393008439464
4752,4.082138416515922
4809,7.629160324755071
4971,3.2309830958656556
5107,3.3928377804751437
5173,8.490500415064206
5185,3.9619395227350007
5188,4.294026534519398
5398,4.00388653500396
5510,8.093759890405634
5591,8.327621887090647
5654,4.167477548475376
5745,5.817764935117204
5794,6.433681671926536
5804,9.78493043020273
5878,3.641656053240532
5896,11.183230424928908
5965,4.338478298673268
5982,6.278309505404715
6041,6.582657137115006
6071,4.316720662173983
6179,3.755562133985455
6278,4.877091465687596
6326,5.4728349322894125
6384,4.6328618133010595
6409,3.81919731380377
6461,5.246530273831399
6669,5.176894486069644
7051,7.702004658686758
7115,-1.2655811190116202
7238,6.4153027292853615
7341,4.4970107400637565
7411,4.019911097866845
7485,4.547833044603057
7631,5.640131876530503
7837,5.908882493929167
8205,3.8416157820573047
8335,4.412703622197616
8384,5.07119077265876
8437,6.275648562708567
8573,6.352857122140099
8574,6.2636425174185
8909,-1.7220955726822533
8958,6.4832905515511
9156,3.8484982891440325
9176,6.884508540280312
9200,4.08545561463917
9682,7.084239943851005
9857,7.9426669779713945
9887,4.895709492733315
10202,6.525498386850652
10267,3.2443517494411624
10299,4.896642668159325
10390,3.3749207709135676
10457,2.400885233133554
10640,7.031270696056461
10678,4.174246282029236
10831,7.0037074982210425
11006,5.261302406175328
11310,6.2680803945400445
11367,4.813164943471053
11375,5.183959920753746
11449,4.99947337138817
11562,4.281695247371912
11580,5.204188007941498
11647,9.757803673326887
11801,2.5936600481619028
11874,5.165179352191997
11898,5.105035365996946
11966,7.816323157386705
11986,-4.106234485456016
12047,0.6982849092356257
12209,6.785428788456179
12224,3.9652130579734313
12331,6.408682630340394
12435,4.035118197365481
12638,4.7307399162646115
12671,2.469894553845608
12675,4.6356610504471565
12681,3.9548345162625385
12698,6.020346572140341
12735,4.257837612978861
12969,8.249431112244505
13225,5.882094936557051
13326,6.627832535606734
13476,6.655797651262913
13594,7.874935476677052
13648,7.324257025436613
13669,4.026422588896134
13779,6.049218391547828
13865,6.26247516793274
14436,4.946687307511518
14483,3.9546522833132074
14499,7.209652944495714
14542,5.6078057527903535
14610,5.433320917084288
15102,5.844715588629685
15291,4.66962683018134
15375,3.358042037523646
15392,8.264313332613057
15477,3.046762697695722
15586,3.7594662080061454
15647,3.8107145583632334
15702,1.5431857143739576
16192,4.1133261577682765
16300,5.660584171886399
16361,3.7179291075386214
16447,0.5591266609547719
16507,2.281625197651805
16642,4.216224613758932
16714,4.075233655656835
16785,5.7233584067630465
16861,4.981931996195299
16953,3.9254401485634896
